,Binario
2375,0.954434002924965
2376,0.8112781244591328
2377,0.8960382325345575
2378,0.8960382325345575
2379,0.954434002924965
2380,0.8960382325345575
2381,0.954434002924965
2382,0.954434002924965
2383,0.9886994082884974
2384,0.8112781244591328
2385,0.8960382325345575
2386,0.8960382325345575
2387,0.954434002924965
2388,0.8960382325345575
2389,0.954434002924965
2390,0.954434002924965
2391,0.9886994082884974
2392,0.8960382325345575
2393,0.954434002924965
2394,0.954434002924965
2395,0.9886994082884974
2396,0.954434002924965
2397,0.9886994082884974
2398,0.9886994082884974
2399,1.0
2400,0.8112781244591328
2401,0.8960382325345575
2402,0.8960382325345575
2403,0.954434002924965
2404,0.8960382325345575
2405,0.954434002924965
2406,0.954434002924965
2407,0.9886994082884974
2408,0.8960382325345575
2409,0.954434002924965
2410,0.954434002924965
2411,0.9886994082884974
2412,0.954434002924965
2413,0.9886994082884974
2414,0.9886994082884974
2415,1.0
2416,0.8960382325345575
2417,0.954434002924965
2418,0.954434002924965
2419,0.9886994082884974
2420,0.954434002924965
2421,0.9886994082884974
2422,0.9886994082884974
2423,1.0
2424,0.954434002924965
2425,0.9886994082884974
2426,0.9886994082884974
2427,1.0
2428,0.9886994082884974
2429,1.0
2430,1.0
2431,0.9886994082884974
2432,0.6962122601251458
2433,0.8112781244591328
2434,0.8112781244591328
2435,0.8960382325345575
2436,0.8112781244591328
2437,0.8960382325345575
2438,0.8960382325345575
2439,0.954434002924965
2440,0.8112781244591328
2441,0.8960382325345575
2442,0.8960382325345575
2443,0.954434002924965
2444,0.8960382325345575
2445,0.954434002924965
2446,0.954434002924965
2447,0.9886994082884974
2448,0.8112781244591328
2449,0.8960382325345575
2450,0.8960382325345575
2451,0.954434002924965
2452,0.8960382325345575
2453,0.954434002924965
2454,0.954434002924965
2455,0.9886994082884974
2456,0.8960382325345575
2457,0.954434002924965
2458,0.954434002924965
2459,0.9886994082884974
2460,0.954434002924965
2461,0.9886994082884974
2462,0.9886994082884974
2463,1.0
2464,0.8112781244591328
2465,0.8960382325345575
2466,0.8960382325345575
2467,0.954434002924965
2468,0.8960382325345575
2469,0.954434002924965
2470,0.954434002924965
2471,0.9886994082884974
2472,0.8960382325345575
2473,0.954434002924965
2474,0.954434002924965
2475,0.9886994082884974
2476,0.954434002924965
2477,0.9886994082884974
2478,0.9886994082884974
2479,1.0
2480,0.8960382325345575
2481,0.954434002924965
2482,0.954434002924965
2483,0.9886994082884974
2484,0.954434002924965
2485,0.9886994082884974
2486,0.9886994082884974
2487,1.0
2488,0.954434002924965
2489,0.9886994082884974
2490,0.9886994082884974
2491,1.0
2492,0.9886994082884974
2493,1.0
2494,1.0
2495,0.9886994082884974
2496,0.8112781244591328
2497,0.8960382325345575
2498,0.8960382325345575
2499,0.954434002924965
2500,0.8960382325345575
2501,0.954434002924965
2502,0.954434002924965
2503,0.9886994082884974
2504,0.8960382325345575
2505,0.954434002924965
2506,0.954434002924965
2507,0.9886994082884974
2508,0.954434002924965
2509,0.9886994082884974
2510,0.9886994082884974
2511,1.0
2512,0.8960382325345575
2513,0.954434002924965
2514,0.954434002924965
2515,0.9886994082884974
2516,0.954434002924965
2517,0.9886994082884974
2518,0.9886994082884974
2519,1.0
2520,0.954434002924965
2521,0.9886994082884974
2522,0.9886994082884974
2523,1.0
2524,0.9886994082884974
2525,1.0
2526,1.0
2527,0.9886994082884974
2528,0.8960382325345575
2529,0.954434002924965
2530,0.954434002924965
2531,0.9886994082884974
2532,0.954434002924965
2533,0.9886994082884974
2534,0.9886994082884974
2535,1.0
2536,0.954434002924965
2537,0.9886994082884974
2538,0.9886994082884974
2539,1.0
2540,0.9886994082884974
2541,1.0
2542,1.0
2543,0.9886994082884974
2544,0.954434002924965
2545,0.9886994082884974
2546,0.9886994082884974
2547,1.0
2548,0.9886994082884974
2549,1.0
2550,1.0
2551,0.9886994082884974
2552,0.9886994082884974
2553,1.0
2554,1.0
2555,0.9886994082884974
2556,1.0
2557,0.9886994082884974
2558,0.9886994082884974
2559,0.954434002924965
2560,0.5435644431995964
2561,0.6962122601251458
2562,0.6962122601251458
2563,0.8112781244591328
2564,0.6962122601251458
2565,0.8112781244591328
2566,0.8112781244591328
2567,0.8960382325345575
2568,0.6962122601251458
2569,0.8112781244591328
2570,0.8112781244591328
2571,0.8960382325345575
2572,0.8112781244591328
2573,0.8960382325345575
2574,0.8960382325345575
2575,0.954434002924965
2576,0.6962122601251458
2577,0.8112781244591328
2578,0.8112781244591328
2579,0.8960382325345575
2580,0.8112781244591328
